video_id,date,views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,category,device,country,ad_revenue_usd
vid_3092,50:41.0,9936,1221,320,26497.21418,2.862136598,228086,Entertainment,TV,IN,203.1782367
vid_3459,50:41.0,10017,642,346,15209.74744,23.7380686,736015,Gaming,Tablet,CA,140.880508
vid_4784,50:41.0,10097,1979,187,57332.6585,26.2006336,240534,Education,TV,CA,360.1340075
vid_4078,50:41.0,10034,1191,242,31334.51777,11.77034007,434482,Entertainment,Mobile,UK,224.6382615
vid_3522,50:41.0,9889,1858,477,15665.66643,6.635853863,42030,Education,Mobile,CA,165.5143876
vid_5000,50:41.0,10002,843,159,35131.75623,12.49182616,541268,Music,TV,CA,234.9659963
vid_2041,50:41.0,9989,1944,160,35380.07091,6.520902681,193736,Music,Mobile,IN,255.0094118
vid_3623,50:41.0,10051,784,458,19263.21258,24.5861209,823662,Entertainment,Tablet,US,164.5334549
vid_750,50:41.0,9934,292,88,,5.946665704,58437,Entertainment,Desktop,UK,336.4098562
vid_4434,50:41.0,10051,,61,40011.57994,24.45472329,103872,Tech,Tablet,DE,246.7118825
vid_3493,50:41.0,9907,,184,54008.29683,8.39763944,226781,Gaming,Mobile,US,330.2197626
vid_2400,50:41.0,10052,631,406,40853.45501,20.33414852,237553,Tech,Mobile,UK,262.8032263
vid_1004,50:41.0,9990,1225,236,33689.04921,9.152332026,499149,Education,Tablet,UK,235.9907725
vid_4773,50:41.0,10106,1450,416,39394.25252,26.374592,830553,Music,TV,US,270.4534404
vid_3604,50:41.0,9999,589,488,22777.41396,15.62954233,258755,Education,Tablet,US,177.9944291
vid_2109,50:41.0,9979,689,439,19196.04536,12.0419849,948421,Tech,Mobile,UK,161.8822861
vid_671,50:41.0,10024,539,459,38020.72122,14.54594075,294403,Tech,Mobile,AU,248.632004
vid_448,50:41.0,10070,351,444,21044.39588,19.69320562,33467,Music,Mobile,IN,165.3471581
vid_1272,50:41.0,10026,1057,339,34851.09965,13.67205545,753781,Music,Tablet,AU,240.5396971
vid_2921,50:41.0,10094,303,160,47507.54331,22.68833343,981054,Tech,Mobile,CA,284.5274593
vid_4990,50:41.0,10092,221,330,60498.57805,16.93223027,173160,Lifestyle,Tablet,DE,347.2762223
vid_4328,50:41.0,9943,1345,60,17886.97822,20.03945712,338260,Entertainment,TV,IN,160.2839649
vid_575,50:41.0,10073,489,245,26111.17552,3.664890897,504852,Lifestyle,TV,US,188.2018742
vid_4361,50:41.0,9804,1010,338,,11.09839972,156446,Lifestyle,Tablet,UK,279.1120967
vid_2344,50:41.0,9774,1856,69,53348.9279,13.64473091,364772,Tech,Mobile,DE,335.5274587
vid_801,50:41.0,9794,835,391,30449.2582,23.10423728,10301,Education,Desktop,CA,215.6563974
vid_539,50:41.0,9960,618,383,39763.61816,8.994536381,618908,Music,TV,DE,256.5670507
vid_2710,50:41.0,9942,1027,102,48958.79643,6.459105764,634747,Education,Desktop,CA,302.0242408
vid_2836,50:41.0,10125,1174,65,41767.73518,27.1519405,271933,Music,Desktop,CA,270.9658367
vid_1009,50:41.0,10053,1628,413,19785.20539,29.89439109,553639,Entertainment,Desktop,DE,180.7375239
vid_4998,50:41.0,9795,1828,129,27373.47184,22.90109697,720229,Tech,Tablet,CA,213.7246578
vid_4583,50:41.0,9780,308,157,52937.92454,21.95479043,711242,Education,Tablet,AU,308.5274967
vid_1207,50:41.0,9920,1799,105,34721.30414,22.69150992,415686,Entertainment,Desktop,DE,248.1066448
vid_2435,50:41.0,10021,1946,219,45743.52793,11.44449753,306189,Music,Mobile,CA,305.0834608
vid_334,50:41.0,9949,1662,,33385.2088,2.300076437,803842,Tech,Tablet,CA,241.3914944
vid_2500,50:41.0,10052,1990,66,52577.61606,7.230923033,593102,Entertainment,Mobile,UK,335.5911139
vid_842,50:41.0,10247,1176,170,16581.21641,3.279580591,632652,Gaming,TV,AU,154.6978099
vid_3785,50:41.0,9928,1535,408,22048.37629,26.60644951,191029,Music,Desktop,UK,189.0716642
vid_3485,50:41.0,9868,626,157,16920.21906,23.1787203,91026,Music,Mobile,AU,144.6448317
vid_1477,50:41.0,9893,220,369,53450.49699,3.542635291,205569,Tech,Mobile,DE,313.6640439
vid_261,50:41.0,10035,1259,151,,18.09968085,257566,Tech,Desktop,DE,147.880515
vid_2414,50:41.0,9968,,323,57697.24617,14.53768121,697130,Gaming,TV,CA,349.5792656
vid_2365,50:41.0,10085,809,167,19494.33412,11.31412972,245573,Lifestyle,Desktop,AU,161.2284033
vid_172,50:41.0,10133,1699,299,15595.6292,11.16598904,528998,Music,Mobile,IN,160.6633927
vid_2080,50:41.0,10098,1516,131,23557.56903,7.661627216,660932,Education,Mobile,AU,191.9851177
vid_4607,50:41.0,9964,464,230,35097.42398,9.835019822,872419,Tech,TV,DE,229.3124362
vid_518,50:41.0,10001,1353,380,42505.34464,5.867130297,480469,Gaming,Tablet,UK,282.2877861
vid_2989,50:41.0,10001,,414,16299.66002,24.19334111,124529,Entertainment,Mobile,IN,154.7183105
vid_4109,50:41.0,9929,1932,185,,19.63818632,986248,Gaming,Desktop,US,234.1398692
vid_928,50:41.0,10151,1850,421,26010.62523,24.5504107,837462,Lifestyle,Tablet,IN,214.5511974
vid_3529,50:41.0,9795,457,216,42773.11631,29.90618302,47620,Tech,Tablet,UK,264.2582708
vid_3064,50:41.0,10166,317,383,52754.11235,11.54656634,66516,Tech,Desktop,AU,313.711147
vid_4788,50:41.0,10180,325,380,27168.01261,19.52919019,939271,Gaming,Desktop,CA,193.2434492
vid_4112,50:41.0,9987,856,179,40777.63088,3.535899803,377964,Music,Tablet,DE,262.0727005
vid_2221,50:41.0,9989,450,,,22.08538485,429793,Music,Desktop,AU,213.6837668
